confirmed,deaths,deaths_comorbid,teryt_id,date,NUTS2,region
561,7,7,t10,2020-12-06,PL71,Łódzkie
380,12,2,t12,2020-12-06,PL21,Małopolskie
1170,23,21,t14,2020-12-06,PL9,Mazowieckie
307,8,7,t16,2020-12-06,PL52,Opolskie
184,14,13,t18,2020-12-06,PL82,Podkarpackie
223,24,20,t20,2020-12-06,PL84,Podlaskie
874,19,15,t22,2020-12-06,PL63,Pomorskie
908,23,19,t24,2020-12-06,PL22,Śląskie
187,11,9,t26,2020-12-06,PL72,Świętokrzyskie
692,11,10,t28,2020-12-06,PL62,Warmińsko-Mazurskie
1096,26,20,t30,2020-12-06,PL41,Wielkopolskie
674,16,16,t32,2020-12-06,PL42,Zachodniopomorskie
920,22,18,t02,2020-12-05,PL51,Dolnośląskie
1091,14,4,t04,2020-12-05,PL61,Kujawsko-Pomorskie
728,48,34,t06,2020-12-05,PL81,Lubelskie
339,16,12,t08,2020-12-05,PL43,Lubuskie
897,44,39,t10,2020-12-05,PL71,Łódzkie
548,35,19,t12,2020-12-05,PL21,Małopolskie
1574,45,40,t14,2020-12-05,PL9,Mazowieckie
359,23,22,t16,2020-12-05,PL52,Opolskie
255,31,26,t18,2020-12-05,PL82,Podkarpackie
287,24,21,t20,2020-12-05,PL84,Podlaskie
969,45,37,t22,2020-12-05,PL63,Pomorskie
1283,51,51,t24,2020-12-05,PL22,Śląskie
209,22,19,t26,2020-12-05,PL72,Świętokrzyskie
762,18,18,t28,2020-12-05,PL62,Warmińsko-Mazurskie
1195,44,18,t30,2020-12-05,PL41,Wielkopolskie
974,20,20,t32,2020-12-05,PL42,Zachodniopomorskie
828,42,36,t02,2020-12-04,PL51,Dolnośląskie
1081,12,6,t04,2020-12-04,PL61,Kujawsko-Pomorskie
713,34,25,t06,2020-12-04,PL81,Lubelskie
482,15,14,t08,2020-12-04,PL43,Lubuskie
915,48,35,t10,2020-12-04,PL71,Łódzkie
599,41,24,t12,2020-12-04,PL21,Małopolskie
1643,85,76,t14,2020-12-04,PL9,Mazowieckie
449,14,12,t16,2020-12-04,PL52,Opolskie
324,29,22,t18,2020-12-04,PL82,Podkarpackie
373,11,10,t20,2020-12-04,PL84,Podlaskie
813,20,14,t22,2020-12-04,PL63,Pomorskie
1355,66,64,t24,2020-12-04,PL22,Śląskie
252,19,15,t26,2020-12-04,PL72,Świętokrzyskie
964,27,20,t28,2020-12-04,PL62,Warmińsko-Mazurskie
1380,40,21,t30,2020-12-04,PL41,Wielkopolskie
999,28,27,t32,2020-12-04,PL42,Zachodniopomorskie
844,41,37,t02,2020-12-03,PL51,Dolnośląskie
1354,27,25,t04,2020-12-03,PL61,Kujawsko-Pomorskie
793,44,38,t06,2020-12-03,PL81,Lubelskie
358,12,8,t08,2020-12-03,PL43,Lubuskie
889,41,35,t10,2020-12-03,PL71,Łódzkie
646,50,23,t12,2020-12-03,PL21,Małopolskie
1780,75,69,t14,2020-12-03,PL9,Mazowieckie
469,27,22,t16,2020-12-03,PL52,Opolskie
413,29,20,t18,2020-12-03,PL82,Podkarpackie
356,26,26,t20,2020-12-03,PL84,Podlaskie
1226,25,14,t22,2020-12-03,PL63,Pomorskie
1531,71,64,t24,2020-12-03,PL22,Śląskie
353,16,13,t26,2020-12-03,PL72,Świętokrzyskie
1058,49,42,t28,2020-12-03,PL62,Warmińsko-Mazurskie
1755,61,49,t30,2020-12-03,PL41,Wielkopolskie
939,26,26,t32,2020-12-03,PL42,Zachodniopomorskie
844,54,46,t02,2020-12-02,PL51,Dolnośląskie
1240,32,30,t04,2020-12-02,PL61,Kujawsko-Pomorskie
759,49,42,t06,2020-12-02,PL81,Lubelskie
387,8,7,t08,2020-12-02,PL43,Lubuskie
1013,31,23,t10,2020-12-02,PL71,Łódzkie
823,42,27,t12,2020-12-02,PL21,Małopolskie
1626,71,70,t14,2020-12-02,PL9,Mazowieckie
257,39,37,t16,2020-12-02,PL52,Opolskie
518,31,25,t18,2020-12-02,PL82,Podkarpackie
393,5,5,t20,2020-12-02,PL84,Podlaskie
1060,46,33,t22,2020-12-02,PL63,Pomorskie
1494,65,59,t24,2020-12-02,PL22,Śląskie
276,25,22,t26,2020-12-02,PL72,Świętokrzyskie
785,31,31,t28,2020-12-02,PL62,Warmińsko-Mazurskie
1577,56,39,t30,2020-12-02,PL41,Wielkopolskie
751,24,24,t32,2020-12-02,PL42,Zachodniopomorskie
717,57,49,t02,2020-12-01,PL51,Dolnośląskie
1214,40,34,t04,2020-12-01,PL61,Kujawsko-Pomorskie
547,36,29,t06,2020-12-01,PL81,Lubelskie
187,4,2,t08,2020-12-01,PL43,Lubuskie
615,21,15,t10,2020-12-01,PL71,Łódzkie
486,67,51,t12,2020-12-01,PL21,Małopolskie
765,16,15,t14,2020-12-01,PL9,Mazowieckie
361,20,18,t16,2020-12-01,PL52,Opolskie
346,20,18,t18,2020-12-01,PL82,Podkarpackie
216,5,5,t20,2020-12-01,PL84,Podlaskie
443,57,49,t22,2020-12-01,PL63,Pomorskie
1084,39,35,t24,2020-12-01,PL22,Śląskie
264,6,5,t26,2020-12-01,PL72,Świętokrzyskie
534,36,35,t28,2020-12-01,PL62,Warmińsko-Mazurskie
796,17,13,t30,2020-12-01,PL41,Wielkopolskie
461,8,8,t32,2020-12-01,PL42,Zachodniopomorskie
445,5,3,t02,2020-11-30,PL51,Dolnośląskie
297,4,4,t04,2020-11-30,PL61,Kujawsko-Pomorskie
285,13,12,t06,2020-11-30,PL81,Lubelskie
259,0,0,t08,2020-11-30,PL43,Lubuskie
375,10,3,t10,2020-11-30,PL71,Łódzkie
280,2,2,t12,2020-11-30,PL21,Małopolskie
659,15,15,t14,2020-11-30,PL9,Mazowieckie
198,0,0,t16,2020-11-30,PL52,Opolskie
201,7,6,t18,2020-11-30,PL82,Podkarpackie
118,2,2,t20,2020-11-30,PL84,Podlaskie
441,3,2,t22,2020-11-30,PL63,Pomorskie
421,18,14,t24,2020-11-30,PL22,Śląskie
192,2,1,t26,2020-11-30,PL72,Świętokrzyskie
327,9,9,t28,2020-11-30,PL62,Warmińsko-Mazurskie
532,30,26,t30,2020-11-30,PL41,Wielkopolskie
599,1,1,t32,2020-11-30,PL42,Zachodniopomorskie
781,11,11,t02,2020-11-29,PL51,Dolnośląskie
623,14,13,t04,2020-11-29,PL61,Kujawsko-Pomorskie
616,25,21,t06,2020-11-29,PL81,Lubelskie
373,6,3,t08,2020-11-29,PL43,Lubuskie
838,37,34,t10,2020-11-29,PL71,Łódzkie
440,9,2,t12,2020-11-29,PL21,Małopolskie
1413,57,52,t14,2020-11-29,PL9,Mazowieckie
432,3,3,t16,2020-11-29,PL52,Opolskie
339,28,23,t18,2020-11-29,PL82,Podkarpackie
307,11,10,t20,2020-11-29,PL84,Podlaskie
978,19,17,t22,2020-11-29,PL63,Pomorskie
977,19,15,t24,2020-11-29,PL22,Śląskie
270,10,8,t26,2020-11-29,PL72,Świętokrzyskie
618,7,7,t28,2020-11-29,PL62,Warmińsko-Mazurskie
1574,21,15,t30,2020-11-29,PL41,Wielkopolskie
780,6,3,t32,2020-11-29,PL42,Zachodniopomorskie
1481,30,29,t02,2020-11-28,PL51,Dolnośląskie
